Restaurant ID,Restaurant Name,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Rating text,Votes
3400025,Jahanpanah,Agra,"North Indian, Mughlai",850,No,No,3.9,Good,140
3400341,Rangrezz Restaurant,Agra,"North Indian, Mughlai",700,No,No,3.5,Good,71
3400005,Time2Eat - Mama Chicken,Agra,North Indian,500,No,No,3.6,Good,94
3400021,Chokho Jeeman Marwari Jain Bhojanalya,Agra,Rajasthani,400,No,No,4,Very Good,87
3400017,Pinch Of Spice,Agra,"North Indian, Chinese, Mughlai",1000,No,No,4.2,Very Good,177
3400325,MoMo Cafe,Agra,"North Indian, European",2000,No,No,4,Very Good,45
3400059,Peshawri - ITC Mughal,Agra,"North Indian, Mughlai",2500,No,No,4.3,Very Good,133
3400060,Taj Bano - ITC Mughal,Agra,Mughlai,2500,No,No,4,Very Good,41
3400348,G Thal,Agra,"Rajasthani, Gujarati, Mughlai",800,No,No,3.6,Good,59
3400072,Dawat-e-Nawab - Radisson Blu,Agra,"North Indian, Mughlai",3600,No,No,3.8,Good,46
3400073,The Latitude - Radisson Blu,Agra,"North Indian, Chinese, Continental",0,No,No,3.9,Good,103
3400019,Dasaprakash Restaurant,Agra,"South Indian, Desserts",550,No,No,4.1,Very Good,121
3400033,The Charcoal Chimney,Agra,"North Indian, Chinese, Continental, Mughlai",1100,No,No,3.4,Average,70
3400346,Sheroes Hangout,Agra,"Cafe, North Indian, Chinese",0,No,No,4.9,Excellent,77
3400350,Bon Barbecue,Agra,"North Indian, Chinese, Continental",1500,No,No,3.8,Good,57
3400391,Chapter 1 Cafe,Agra,"Cafe, Italian, Mexican, North Indian, Continental",0,No,No,3.9,Good,98
3400016,Pind Balluchi,Agra,"North Indian, Mughlai",900,No,No,3.7,Good,175
3400105,Pizza Hut,Agra,"Italian, Pizza",700,No,No,4.4,Very Good,134
3400326,Tea'se Me - Rooftop Tea Boutique,Agra,"Chinese, Italian, Continental, North Indian",1000,No,No,4.2,Very Good,166
3400392,Thaaliwala,Agra,"North Indian, Fast Food",700,No,No,4.1,Very Good,168
111895,650 - The Global Kitchen,Ahmedabad,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",900,No,No,4.2,Very Good,1582
110502,Patang - The Revolving Restaurant,Ahmedabad,"Continental, Chinese, North Indian",1800,No,No,3.7,Good,1315
18396250,Huber & Holly,Ahmedabad,"Ice Cream, Desserts, Continental",300,No,Yes,4.5,Excellent,217
113702,@Mango,Ahmedabad,"North Indian, Continental, Mexican, Italian",800,No,No,4.1,Very Good,769
113433,Fozzie's Pizzaiolo,Ahmedabad,"Pizza, Italian, Beverages, Desserts",900,No,Yes,4.3,Very Good,731
18438909,La Pino'z Pizza,Ahmedabad,"Pizza, Italian",500,No,Yes,4.4,Very Good,113
18143128,Mocha,Ahmedabad,"Cafe, Continental, Desserts",1000,No,Yes,4.4,Very Good,944
18438944,Blue -  Rooftop Cafe Restaurant Bistro,Ahmedabad,"North Indian, Cafe, Italian, Mexican, Continental",1000,No,Yes,3.8,Good,63
110436,MoMo Cafí© - Courtyard By Marriott,Ahmedabad,"North Indian, South Indian, Asian, Continental",1400,No,No,3.6,Good,375
18385201,Cryo Lab,Ahmedabad,"Desserts, Ice Cream",350,No,No,4.6,Excellent,166
110395,Swati Snacks,Ahmedabad,"Fast Food, Street Food, South Indian",450,No,No,4.4,Very Good,697
18335583,Brick Kitchen,Ahmedabad,"North Indian, Chinese, Continental",900,No,No,4.3,Very Good,325
110237,Kabir Restaurant,Ahmedabad,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",600,No,Yes,3.8,Good,432
113537,Puffizza,Ahmedabad,"Italian, Fast Food",700,No,Yes,4.3,Very Good,744
113703,Cafe Alfresco,Ahmedabad,"Cafe, Beverages, Desserts, Pizza",700,No,Yes,4,Very Good,404
18385186,The Cafe Baraco,Ahmedabad,"Cafe, Italian",600,No,Yes,4.4,Very Good,317
113325,Nini's Kitchen,Ahmedabad,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",950,No,Yes,4.5,Excellent,1138
111826,Yanki Sizzlers,Ahmedabad,"Continental, Italian, Chinese",1200,No,No,4.1,Very Good,1041
110516,The Garden Cafe - The Fern,Ahmedabad,"North Indian, Italian, Asian, South Indian",1200,No,No,4.1,Very Good,192
18371341,Mazzo,Ahmedabad,"Cafe, American, Continental, Armenian, Fast Food",550,No,Yes,3.9,Good,166
113570,Turquoise Villa,Ahmedabad,Continental,1200,No,No,4,Very Good,535
2400020,Aryan Family's Delight,Allahabad,"North Indian, South Indian, Fast Food",500,No,No,3.4,Average,57
2400148,Bean Here,Allahabad,"Cafe, Fast Food",350,No,No,3.3,Average,76
2400019,Bikanerwala,Allahabad,"North Indian, Street Food, Fast Food",500,No,No,3.2,Average,51
2400193,Dewsis,Allahabad,"North Indian, Chinese",600,No,No,3.4,Average,99
2400027,Friends Forever,Allahabad,"North Indian, Chinese",600,No,No,3.4,Average,83
17960073,Hotel Ravisha Continental,Allahabad,"North Indian, South Indian, Chinese",600,No,No,3.4,Average,18
2400119,KFC,Allahabad,"American, Fast Food",500,No,No,3.4,Average,58
2400014,McDonald's,Allahabad,Fast Food,400,No,No,3.3,Average,53
2400403,Pind Balluchi,Allahabad,"North Indian, Mughlai",800,No,No,3.2,Average,6
2400349,Pizza Hut,Allahabad,"Italian, Pizza",700,No,No,3.4,Average,35
2400279,Subway,Allahabad,"Fast Food, American, Salad, Healthy Food",400,No,No,3.4,Average,32
2400017,Tandoor Restaurant,Allahabad,"North Indian, Chinese",500,No,No,3.2,Average,151
18317988,The BrewMaster,Allahabad,"North Indian, Chinese, Italian",0,No,No,3.3,Average,49
2400144,The Tamarind Tree,Allahabad,"South Indian, Chinese",500,No,No,3.4,Average,106
2400195,Cafe El Chico,Allahabad,"Continental, Italian",1000,No,No,3.6,Good,59
2400052,Eat On,Allahabad,North Indian,200,No,No,3.7,Good,105
2400016,Hot Stuff,Allahabad,"North Indian, Fast Food",500,No,No,3.5,Good,105
2400293,Paradise,Allahabad,"Desserts, Fast Food",500,No,No,3.6,Good,57
2400009,Sagar Ratna,Allahabad,"South Indian, North Indian, Chinese, Continental",400,No,No,3.5,Good,134
2400010,Moti Mahal Delux,Allahabad,"Mughlai, North Indian, Chinese",800,No,No,3.3,Average,58
2200011,Makhan Fish and Chicken Corner,Amritsar,"North Indian, Chinese",700,No,No,3.4,Average,345
2200078,Charming Chicken,Amritsar,North Indian,300,No,No,3.9,Good,151
18204507,Ahuja Milk Bhandar,Amritsar,Beverages,100,No,No,4,Very Good,52
2200030,Crystal Restaurant,Amritsar,"North Indian, Mughlai",800,No,No,3.4,Average,122
2200201,Brijwasi Chat Bhandar,Amritsar,Street Food,150,No,No,3.6,Good,56
2200067,Bubby Fish & Chicken Corner,Amritsar,North Indian,300,No,No,3.5,Good,91
